fname,event
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2014_364_36_265763.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2015_011_36_267746.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2015_140_36_293993.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2015_156_45_297634.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_005_36_315856.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_005_36_316035.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_014_36_319607.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_014_36_319639.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_014_45_319653.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_018_36_320439.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_018_45_320628.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_018_63_320622.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_091_36_334101.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_104_45_336531.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_131_36_302779.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_133_36_303096.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_147_45_305763.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_151_36_306263.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2016_235_36_331767.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2017_185_36_383354.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2017_289_45_385764.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2018_212_54_400002.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2020_100_39_414032.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Slope_Tremor\2020_106_30_414581.dat,Slope_Tremor
dataset\AknesDataFiles\DataSamples\Spike\2007_002_33_114616.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_002_48_114621.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_006_36_114842.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_007_36_114879.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_008_45_114934.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_009_36_114975.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_010_36_115065.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_010_54_115109.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_011_36_115175.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_017_54_115660.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_018_45_115724.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_018_63_115776.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_019_54_115843.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_021_36_115917.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_022_54_115967.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_022_63_116055.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_023_36_116224.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_024_63_116276.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_025_36_116330.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_027_36_116640.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_027_63_116612.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_028_36_116668.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_028_63_116681.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_029_36_116816.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_031_45_117076.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_032_36_117139.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_035_36_117770.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_035_54_117786.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_036_54_117971.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_038_36_118089.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_038_54_118136.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_038_63_118094.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_039_54_118201.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_040_54_118283.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_042_63_118382.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_042_63_118430.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_044_45_118583.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_045_54_118661.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_046_63_118712.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_049_63_118960.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_050_54_119021.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_051_63_119068.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_052_36_119173.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_052_63_119295.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_053_45_119431.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_054_36_119556.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_055_63_119615.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_056_54_119663.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_056_63_119721.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_058_63_119867.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_059_63_119973.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_060_45_120069.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_061_63_120143.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_062_63_120199.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_063_54_120256.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_064_36_120339.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_066_54_120656.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_070_45_120887.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_073_54_121208.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_076_36_121586.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_077_45_121660.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_078_36_121771.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_081_45_122160.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_082_36_122377.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_083_54_122640.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_084_54_122962.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_086_54_123685.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_236_54_160580.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_250_36_163358.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_251_36_163403.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_252_36_163474.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_270_54_167076.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_314_36_173550.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2007_317_36_173985.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2008_019_45_179337.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2008_027_63_179898.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2008_030_63_180376.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2008_046_63_182613.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2008_053_45_183595.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2008_064_63_184926.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2008_077_36_187784.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2008_090_54_190013.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_025_54_139738.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_027_45_139845.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_043_45_140905.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_044_45_140929.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_045_36_140978.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_045_45_140977.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_046_45_141021.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_046_45_141022.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_047_45_141060.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_047_45_141061.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_048_45_141133.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_048_54_141096.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_048_54_141134.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_049_54_141175.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_050_45_141218.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_050_54_141219.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_051_54_141253.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_052_36_141278.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_053_54_141370.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_053_54_141371.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_054_45_141463.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_055_36_141506.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_058_45_141794.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_058_54_141692.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_059_54_141887.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_060_45_141931.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_062_54_142078.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_063_54_142157.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_065_54_142266.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_066_36_142301.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_068_36_142444.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_069_45_142483.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_069_45_142484.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_069_54_142485.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_070_45_142524.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_070_45_142525.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_070_45_142563.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_072_54_142623.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_073_54_142660.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_074_36_142699.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_075_54_142753.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_076_45_142810.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_077_45_142862.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_078_36_142933.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_078_45_142904.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_079_36_142975.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_080_36_143066.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_081_36_143222.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_082_36_143365.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_083_36_143402.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_084_54_143511.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_085_54_143597.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_085_54_143641.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_086_36_143690.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_086_54_143678.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_087_36_143702.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_088_54_143792.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_089_54_143855.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_090_54_143959.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_090_54_144030.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_091_45_144300.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_093_45_144724.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_096_36_145193.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_098_36_145443.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_099_54_145520.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_100_36_145729.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_101_36_145967.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_102_45_146110.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_103_36_146246.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_103_45_146228.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_105_36_146502.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_106_36_146737.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_107_36_147040.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_108_45_147202.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_109_36_147399.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_111_36_147577.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_113_36_148102.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_114_36_148306.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_115_36_148436.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_118_36_148635.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_119_36_148757.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_121_36_149096.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_127_36_149504.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_129_36_149777.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_134_36_150212.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_137_36_150428.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_146_36_152379.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_147_36_152428.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_148_36_152471.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_149_36_152689.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_157_36_153790.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_167_36_154384.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_175_45_154825.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_177_45_154917.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_178_36_154963.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_179_36_155087.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_187_36_155524.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_187_36_155567.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_187_36_155584.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_187_36_155591.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_187_36_155595.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_187_45_155531.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_187_54_155587.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_192_36_155851.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_206_45_156621.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_215_36_157023.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_215_36_157032.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_243_36_158988.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_244_45_159072.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_308_45_167541.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_353_54_176307.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_355_45_176673.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2011_364_54_177744.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2012_013_45_179634.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2013_208_63_239142.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2015_002_45_266348.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2016_122_36_339574.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2016_211_36_320078.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_193_36_388584.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_209_36_398385.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_228_36_408763.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_230_36_409617.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_230_36_409667.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_230_36_409672.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_236_36_412962.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_254_36_423010.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_255_36_424282.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_355_36_410615.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_357_36_412369.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_357_36_412476.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_357_36_412549.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_357_45_412091.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_360_36_414250.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_361_36_415058.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2017_364_36_391242.dat,Spike
dataset\AknesDataFiles\DataSamples\Spike\2018_119_36_391483.dat,Spike
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_001_30_443940.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_001_36_443948.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_001_36_443950.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_001_36_443962.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_001_36_443964.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_002_36_443998.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_002_36_444003.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_002_36_444015.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_002_39_444020.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_003_30_444048.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_003_36_444032.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_003_36_444035.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_003_36_444055.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_003_39_444061.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_004_36_444071.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_004_36_444078.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_004_39_444091.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_005_36_444098.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_005_36_444099.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_005_36_444100.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_005_36_444118.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_005_39_444117.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_006_36_444153.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_006_36_444161.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_006_36_444165.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_007_36_444186.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_007_36_444193.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_007_39_444182.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_008_30_444222.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_008_39_444217.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_008_39_444247.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_010_36_444307.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_010_39_444316.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_011_36_444331.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_011_36_444353.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_012_30_444389.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_012_36_444433.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_013_36_444450.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_013_36_444464.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_013_36_444476.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_013_36_444477.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_013_36_444478.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_014_36_444482.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_015_36_444518.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_015_36_444519.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_016_36_444557.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_016_36_444579.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_017_36_444591.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_018_36_444640.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_018_36_444647.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_018_36_444649.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_019_36_444679.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_019_36_444680.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_019_36_444691.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_019_36_444708.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_019_36_444710.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_020_36_444718.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_020_36_444766.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_021_39_444810.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_022_36_444882.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_023_30_444888.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_023_30_444899.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_024_36_444922.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_025_36_444980.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_025_36_445006.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_025_36_445007.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_025_39_444975.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_026_36_445014.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_026_36_445053.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_026_36_445054.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_026_39_445021.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_026_39_445041.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_027_36_445087.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_027_36_445092.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_027_36_445108.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_027_39_445075.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_028_36_445112.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_028_36_445123.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_028_36_445124.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_028_39_445161.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_029_36_445181.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_029_36_445189.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_029_39_445193.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_029_39_445194.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_030_36_445263.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_030_36_445280.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_031_36_445300.dat,Unlabeled
dataset\AknesDataFiles\DataSamples\Unlabeled\2021_031_39_445292.dat,Unlabeled
